LiteratureID,ReferenceCount,AuthorCount,FundingAgencyCount
85065787724,11,2,0
85065861114,49,4,1
85065915318,16,3,0
85065924078,31,21,1
85066074915,11,1,0
85066078842,35,5,2
85066084611,42,6,5
85066091299,25,2,1
85066235456,49,6,0
85066251209,118,9,4
85066315798,3,2,0
85066336496,30,4,3
85066434744,60,15,3
85066456544,46,3,0
85066787162,2,2,0
85066832483,29,3,1
85066999169,71,2258,116
85067005434,28,2,1
85067017648,69,3,4
85067029849,18,2,0
85067038112,12,2,0
85067048587,204,9,3
85067118904,31,5,1
85067190342,40,6,2
85067236770,57,5,2
85067303409,17,33,1
85067362960,87,2281,106
85067364793,28,7,2
85067441977,43,6,0
85067455129,52,2,0
85067553955,66,6,2
85067657000,44,6,1
85067669525,51,5,2
85067682383,10,3,1
85067887004,12,5,2
85067939815,13,2,0
85067998476,18,4,0
85067998660,51,1,0
85068050759,4,3,0
85068070774,32,2,7
85068163650,53,5,3
85068217647,25,4,1
85068345041,58,3,0
85068367264,46,5,5
85068482297,36,7,6
85068485265,32,3,4
85068508173,30,8,2
85068528080,50,3,2
85068610221,26,2,0
85068641277,88,3,1
85068724942,43,5,1
85068748208,29,4,4
85068780426,49,3,1
85068802771,24,5,0
85068835476,25,14,3
85068899454,78,4,0
85068982883,80,10,4
85069161268,11,4,1
85069209605,8,2,3
85069219917,35,7,1
85069267290,6,13,47
85069272962,29,8,4
85069328095,137,4,0
85069431051,54,4,5
85069440912,18,6,0
85069445628,40,8,4
85069447387,33,3,3
85069648777,69,5,3
85069683127,61,19,0
85069775657,40,11,4
85069776717,81,45,3
85069864372,38,9,2
85069889234,37,3,0
85069897226,37,4,1
85069908392,19,5,4
85069996229,40,6,5
85070209028,10,2,2
85070271666,96,2278,104
85070315424,19,2,0
85070550478,62,2,0
85070730856,42,4,0
85070777695,31,9,4
85070887862,39,6,6
85070967460,31,4,2
85070975532,19,2,2
85071105530,45,7,4
85071187318,17,1,2
85071198566,70,3,2
85071269811,33,5,1
85071276825,55,2,0
85071326066,16,4,2
85071354570,60,4,5
85071397754,66,19,12
85071672724,37,3,0
85071687238,25,8,0
85071743078,56,4,2
85071767741,34,11,4
85071785692,27,7,3
85071882735,24,5,2
85072014235,28,8,0
85072023007,80,4,5
85072084747,81,5,2
85072104933,84,2332,97
85072144865,46,4,0
85072175191,30,7,12
85072229317,5,5,0
85072268571,9,4,1
85072269018,23,5,1
85072295445,74,6,6
85072377105,23,11,3
85072648345,25,4,2
85072656884,44,8,5
85072691758,26,6,1
85072737390,83,3,5
85072746800,73,6,8
85072791175,26,11,4
85072847644,8,3,1
85072850749,82,2264,140
85072859242,15,2,6
85072902204,19,1,3
85072931567,45,2332,104
85072996966,32,5,0
85073033253,130,5,5
85073067791,19,7,13
85073089044,79,10,1
85073259336,32,2,1
85073460182,72,9,8
85073496257,19,5,2
85073507038,87,2,0
85073526056,40,7,4
85073529830,59,4,3
85073543690,30,153,10
85073565672,26,6,0
85073571196,43,7,5
85073735811,26,4,5
85073741734,22,2,2
85073749828,49,3,0
85073817232,19,2,1
85073819211,14,4,1
85073822735,52,4,3
85073939495,29,3,3
85074013484,0,2,7
85074031507,30,15,1
85074042117,51,4,6
85074076384,61,4,4
85074097218,23,3,0
85074097306,30,10,6
85074141140,20,6,0
85074152331,45,6,4
85074226920,16,3,0
85074236434,0,1,0
85074310161,26,9,3
85074411239,40,4,3
85074499499,29,3,2
85074505403,47,3,3
85074523430,17,3,1
85074569518,62,3,3
85074693502,25,1,0
85074703921,35,6,2
85074707394,66,2,4
85074724262,30,2,1
85074749399,8,6,3
85074850336,44,8,2
85074903934,48,1,4
85074942738,5,3,0
85074944993,9,2,0
85074964699,5,1,0
85075023216,43,3,0
85075032534,30,3,0
85075060368,16,3,5
85075186208,35,4,1
85075248064,71,3,0
85075343986,20,2,3
85075517053,99,4,5
85075534099,75,2,6
85075586789,23,2,0
85075620926,30,1,1
85075628194,72,3,2
85075807706,51,4,5
85075814075,0,4,0
85075835717,38,3,2
85075910899,25,2,0
85075915068,16,2,3
85075926519,28,2,0
85075934812,0,15,0
85075947794,35,4,2
85076058139,42,4,4
85076124005,23,3,8
85076190884,22,2,1
85076249738,39,5,3
85076265509,24,3,1
85076300739,13,2,4
85076340852,16,2,0
85076345380,45,4,5
85076450381,0,23,0
85076460130,45,5,2
85076603666,50,2,8
85076606991,21,2339,2
85076614689,39,7,2
85076670371,12,7,5
85076684655,39,5,3
85076708497,16,2,0
85076780988,37,5,3
85076792477,30,3,9
85077064046,38,4,7
85077073854,57,2,0
85077216268,54,4,2
85077265470,3,5,0
85077320995,38,4,2
85077325936,72,2279,108
85077343946,93,10,4
85077429939,31,5,0
85077532487,3,7,0
85077593073,76,2,0
85077646889,65,7,4
85077768603,10,8,1
85077785809,22,6,2
85077816578,19,5,0
85077821220,20,4,1
85077865142,10,5,5
85077976956,75,2,0
85078001937,35,19,5
85078017746,38,4,0
85078018843,9,2,0
85078049766,25,5,2
85078089137,50,17,2
85078093381,54,11,3
85078120406,14,2,0
85078151356,11,6,0
85078248569,21,4,3
85078259365,29,2,2
85078282226,41,4,0
85078291404,43,4,1
85078394857,43,5,5
85078495236,10,9,1
85078562034,194,10,3
85078636687,18,2,0
85078822358,5,5,0
85078832633,25,2,4
85078860934,8,3,0
85078869009,5,2,0
85078884975,45,5,1
85078960433,43,4,0
85079102942,10,2,0
85079119941,22,3,0
85079166274,67,3,3
85079188760,22,1,2
85079196070,28,6,4
85079250528,3,4,0
85079364995,19,5,2
85079427365,83,2322,2
85079439852,38,4,2
85079598800,29,5,0
85079634751,53,3,3
85079716621,46,10,4
85079787046,33,2,0
85079798634,53,2,2
85079849881,14,2,0
85079866987,14,2,0
85080091737,52,5,8
85080101758,16,3,2
85080891429,43,4,0
85080922366,40,4,0
85080931364,35,5,2
85080931731,2,4,0
85080932055,22,4,2
85080968369,33,3,0
85081091584,30,2,0
85081140448,41,7,3
85081210596,29,7,4
85081228270,26,3,1
85081238040,36,3,1
85081282668,35,7,7
85081545491,95,3,7
85081640923,26,2,2
85081674187,111,7,0
85081734284,56,3,0
85081746798,83,2330,107
85081911834,58,20,1
85081929690,15,8,3
85081945901,70,25,3
85082065799,105,5,0
85082092383,27,6,8
85082109212,49,4,2
