,LiteratureID,ReferenceCount,AuthorCount,FundingAgencyCount,Cluster,PCA1,PCA2
1319,85122163997,18,5,0,0,-0.4394682674542762,-0.6369697301658948
1320,85122176273,61,5,0,4,-0.26996969316713165,0.46736625752630756
1321,85122206262,115,5,0,2,-0.05711101848095016,1.8542068002095384
1322,85122290407,39,5,1,4,-0.3057045839307862,-0.10463116686300702
1323,85122299713,44,2,0,4,-0.34246328439231405,0.031699801369859254
1324,85122314169,53,4,4,4,-0.0993905804921892,0.23426563921066726
1325,85122468804,30,4,1,0,-0.34300853870252485,-0.33546075982152873
1326,85122509700,103,5,1,2,-0.05342763615457103,1.5390316985393409
1327,85122546166,27,8,2,0,-0.29653867463228184,-0.4207377609992551
1328,85122623812,27,5,7,0,-0.04709465143230989,-0.45474784056949263
1329,85122699677,81,3,2,2,-0.09281754489964238,0.967655269127393
1330,85122707686,26,3,2,0,-0.30961804689482725,-0.44486750582774964
1331,85122770600,26,7,2,0,-0.3023080109319936,-0.4461094957824834
1332,85122814201,42,1,0,4,-0.3521744480010292,-0.01935416568528067
1333,85122816220,34,4,2,4,-0.276255919432092,-0.2397201451411396
1334,85122823475,22,25,1,0,-0.336165468369675,-0.5474390652591742
1335,85122922246,16,3,0,0,-0.45100694005369973,-0.6877131997323512
1336,85122949029,25,4,3,0,-0.2607470551787028,-0.4778485499956023
1337,85122965055,26,15,4,0,-0.18571731893748739,-0.4625701045064659
1338,85122978976,53,2,3,4,-0.15403090850802548,0.2418749485952917
1339,85123002433,29,2,2,0,-0.2996200739585256,-0.36751031152333113
1340,85123037733,33,5,1,4,-0.32935554778480636,-0.25872456049447706
1341,85123043149,13,2,1,0,-0.4136746209369988,-0.7714377134666605
1342,85123083352,204,7,2,3,0.3993372500706046,4.125327848617796
1343,85123243043,29,4,0,0,-0.39793567604594765,-0.35415467768618286
1344,85123309350,71,4,0,2,-0.23237892906780644,0.7244990777341078
1345,85123373439,107,5,0,2,-0.088645636952977,1.648748942034245
1346,85123377318,83,7,1,2,-0.12860916435322145,1.02476605812374
1347,85123454780,33,4,1,4,-0.3311830567755148,-0.25841406300579367
1348,85123464833,94,24,0,2,-0.10516672114656081,1.3089804702144077
1349,85123519768,20,6,1,0,-0.3787717938111416,-0.5929040775180123
1350,85123572309,38,3,5,4,-0.10936018908352858,-0.15764566178658207
1351,85123651982,30,2,1,0,-0.34666355668394166,-0.33483976484416184
1352,85123694402,13,4,2,0,-0.3590342929211625,-0.7790470228512848
1353,85123733643,15,1,1,0,-0.4076184753097005,-0.7197627514341536
1354,85123749034,55,5,5,4,-0.03869410684905463,0.2783312918585496
1355,85123756430,22,6,0,0,-0.4218734492275543,-0.5345512985669314
1356,85123778938,35,3,1,4,-0.32512691114821646,-0.2067391009732869
1357,85123781614,55,5,5,4,-0.03869410684905463,0.2783312918585496
1358,85123894848,29,4,0,0,-0.39793567604594765,-0.35415467768618286
1359,85123900912,62,4,0,4,-0.2678553748488367,0.4933589872869026
1360,85123985464,47,10,4,4,-0.11207649040195887,0.07830926064709658
1361,85123993582,10,2,0,0,-0.47648541289842833,-0.841496095875138
1362,85124001265,45,3,1,4,-0.28570863805818286,0.05008322174582994
1363,85124013309,11,2,3,0,-0.31958765548616663,-0.8367788068249988
1364,85124058569,35,8,4,4,-0.16303343609141605,-0.22925653163847676
1365,85124192713,32,6,0,0,-0.3824551761375207,-0.27772897584781464
1366,85124293475,51,10,9,4,0.15861736900615173,0.14609661769845544
1367,85124295125,84,4,4,2,0.02280606608691496,1.0304148396399295
1368,85124311969,51,7,0,4,-0.30573294827574843,0.20992293982982388
1369,85124468334,124,3,1,3,0.0256957193530827,2.0789795712268533
1370,85124518109,50,3,1,4,-0.26599950151316604,0.17849438310538834
1371,85124559855,13,2,0,0,-0.4646599309714182,-0.7644493990594029
1372,85124580208,53,9,4,4,-0.09025303553864712,0.2327131517672501
1373,85124588174,35,6,0,4,-0.3706296942105106,-0.2006822790320796
1374,85124660000,24,4,0,0,-0.4176448125909644,-0.4825658390457413
1375,85124676128,75,8,0,2,-0.2093015838689593,0.8259860168670209
1376,85124742643,19,3,0,0,-0.43918145812668963,-0.6106665029166162
1377,85124898073,46,4,1,4,-0.2799393017584711,0.07545495652905819
1378,85124943636,39,4,2,4,-0.25654678288707516,-0.11130898378158115
1379,85124974726,18,3,0,0,-0.443123285435693,-0.6363487351885279
1380,85124988656,8,7,3,0,-0.32227559245963466,-0.9153779910841511
1381,85125014824,13,5,2,0,-0.35720678393045413,-0.7793575203399683
1382,85125042278,21,5,0,0,-0.4276427855272661,-0.5599230333501597
1383,85125063558,89,11,4,2,0.0553077655668907,1.156652518578704
1384,85125188625,63,8,5,4,-0.001676961404902503,0.4828576575677928
1385,85125220076,46,2,0,4,-0.33457962977430733,0.08306426591368261
1386,85125220713,20,3,2,0,-0.3332690107488474,-0.5989608994592196
1387,85125341116,59,6,7,4,0.08087133144650609,0.36677309464299773
1388,85125426099,65,4,2,2,-0.15405927285298773,0.5564290552881227
1389,85125426567,57,2,3,4,-0.138263599272012,0.34460387768293843
1390,85125471976,23,6,1,0,-0.36694631188413157,-0.5158573807022773
1391,85125538830,38,5,0,4,-0.36063172127420895,-0.12332508472766113
1392,85125589544,48,4,6,4,-0.017129096968367154,0.09187784903659373
1393,85125844982,125,2,11,3,0.537663138015572,2.0350891569148724
1394,85125851817,33,25,10,4,0.16606242233913693,-0.32782933993346386
1395,85125860352,245,6,1,3,0.5081393507146145,5.1855981836621154
1396,85125916091,18,3,0,0,-0.443123285435693,-0.6363487351885279
1397,85125943347,24,14,0,0,-0.39936972268388027,-0.48567081393257566
1398,85126010702,58,6,1,4,-0.22898235606901388,0.3830207488146315
1399,85126030319,27,5,3,0,-0.2510358915699876,-0.42679458294046235
1400,85126173538,87,5,2,2,-0.0655115630642054,1.1211276677814963
1401,85126219989,40,12,3,4,-0.18699957361798503,-0.09509904582639449
1402,85126292779,59,5,4,4,-0.07391210764746062,0.3880485353534539
1403,85126329492,53,4,2,4,-0.20136120056102808,0.2482422680251824
1404,85126372087,50,2,0,4,-0.3188123205382939,0.18579319500132938
1405,85126418456,34,6,10,4,0.1352815788246804,-0.296247655376567
1406,85126539765,32,4,1,4,-0.3351248840845181,-0.28409629527770536
1407,85126555684,73,7,0,2,-0.21901274747767444,0.774932049811881
1408,85126601006,48,10,6,4,-0.006164043024116656,0.09001486410449314
1409,85126680853,40,4,0,4,-0.35457557564691067,-0.07165012269515433
1410,85126721654,84,2,0,2,-0.18479019203217958,1.0589890922463265
1411,85126821753,101,4,1,2,-0.0631387997632862,1.4879777314842006
1412,85126920415,39,13,2,4,-0.24009920197069937,-0.11410346117973204
1413,85126940849,30,5,6,4,-0.08625447953971921,-0.37071282934649996
1414,85127091197,99,9,4,2,0.0910710206755075,1.4140958362751876
1415,85127193715,75,5,2,2,-0.1128134907722457,0.8129408805185561
1416,85127196099,26,9,0,0,-0.4006236130194156,-0.43275386194533505
1417,85127280164,109,11,2,2,0.032173691678119024,1.6842737928314526
1418,85127293010,12,16,0,0,-0.44301663241050376,-0.7944785961728826
1419,85127362995,51,2,1,4,-0.2638851831948711,0.20448711286598345
1420,85127375045,54,5,1,4,-0.24657717429573572,0.2806023172156682
1421,85127430170,123,6,0,3,-0.023748891018214875,2.059354160896148
1422,85127473643,4,5,3,0,-0.341697919677065,-1.017485925194431
1423,85127475912,63,4,0,2,-0.26391354753983337,0.5190412195588143
1424,85127532067,73,7,4,2,-0.015071507339996723,0.7469787921828508
1425,85127542537,67,10,0,2,-0.2371811843595694,0.6199071637143606
1426,85127543093,37,1,0,4,-0.371883584546046,-0.14776532704483908
1427,85127562730,36,3,0,4,-0.3721703938736325,-0.1740685542941176
1428,85127644489,38,3,0,4,-0.36428673925562577,-0.12270408975029426
1429,85127697702,50,7,5,4,-0.05474822541265461,0.14929913552162438
1430,85127926459,0,3,0,0,-0.5140761769977535,-1.0986289160829381
1431,85127933105,122,3,1,2,0.017812064735075926,2.0276151066830295
1432,85127955982,36,2,0,4,-0.3739979028643409,-0.17375805680543416
1433,85128000368,11,5,0,0,-0.46706105861729974,-0.8167453560692765
1434,85128017713,66,2,0,2,-0.2557430835942401,0.5967089113519163
1435,85128052627,25,2,0,0,-0.4173580032633779,-0.45626261179646266
1436,85128220305,35,4,4,4,-0.1703434720542497,-0.22801454168374302
1437,85128230598,37,8,1,4,-0.30810571157666766,-0.15692712387288069
1438,85128271777,33,6,6,4,-0.07260148862200072,-0.29397663001944835
1439,85128308904,154,5,0,3,0.09662024657018092,2.8558138588140936
1440,85128336511,10,1,0,0,-0.47831292188913677,-0.8411855983864545
1441,85128487609,0,4,0,0,-0.512248668007045,-1.0989394135716215
1442,85128496217,27,6,0,0,-0.40216431268253755,-0.4061401372073731
1443,85128607491,69,10,5,2,0.025629020430534485,0.636330056221896
1444,85128719087,0,2290,0,5,3.6654368847523937,-1.8087366727019467
1445,85128724831,49,5,4,4,-0.11333038073749421,0.13122621263433712
1446,85128747377,51,5,1,4,-0.25840265622274583,0.20355562039993313
1447,85128749598,48,10,3,4,-0.15911997312737494,0.11097980732626583
1448,85128902630,91,6,6,2,0.1560244953001942,1.1955928417514292
1449,85129053800,34,2,0,4,-0.38188155748234764,-0.22512252134925756
1450,85129073305,26,6,0,0,-0.4061061399915409,-0.43182236947928476
1451,85129162717,29,4,0,0,-0.39793567604594765,-0.35415467768618286
1452,85129182388,78,2,0,2,-0.20844115588619974,0.9048956986148564
1453,85129237912,32,3,2,4,-0.2859670830408071,-0.2907741121962795
1454,85129306371,187,4,2,3,0.3268436588454223,3.6896613924613475
1455,85129338385,29,12,16,4,0.43244935643043064,-0.46845168811177135
1456,85129339199,42,8,1,4,-0.28839657503165084,-0.02851596251332226
1457,85129377508,6,5,0,0,-0.4867701951623165,-0.9451565174288349
1458,85129513993,29,4,3,0,-0.24497974594268931,-0.3751196209079556
1459,85129600697,45,7,2,4,-0.2274132920609297,0.041852917383838645
1460,85129629016,58,2,0,4,-0.28727770206626696,0.3912510531766228
1461,85129701137,20,18,1,0,-0.35684168592264065,-0.5966300473822135
1462,85129709996,35,4,2,4,-0.2723140921230886,-0.21403791286922788
1463,85129735389,70,9,0,2,-0.2271832114232677,0.6972643580187791
1464,85129917651,39,7,1,4,-0.3020495659493693,-0.10525216184037386
1465,85129929732,37,7,4,4,-0.1569772904641177,-0.17758156960596994
1466,85129979592,60,5,5,4,-0.01898497030403783,0.40674245321810804
1467,85129989403,33,11,8,4,0.03850667640038022,-0.3095057462773807
1468,85129997050,29,3,0,0,-0.39976318503665603,-0.3538441801974994
1469,85130041142,26,11,5,0,-0.1420420448659016,-0.4683164289589898
1470,85130212429,55,4,1,4,-0.2444628559774408,0.3065950469762633
1471,85130251131,28,6,1,0,-0.34723717533911475,-0.38744621934271894
1472,85130323843,75,2359,1,5,4.138157363320946,0.089018106565015
1473,85130449503,15,7,0,0,-0.4476387313998694,-0.7146374219589966
1474,85130563011,54,5,4,4,-0.09362124419247742,0.25963737399389547
1475,85130619724,4,6,2,0,-0.39085572072077596,-1.0108081082758569
1476,85130636723,31,4,4,4,-0.18611078129026315,-0.33074347077138977
1477,85130637751,72,10,4,2,-0.01353080767687486,0.7203650674448887
1478,85130745287,46,5,4,4,-0.12515586266450432,0.05417951581860206
1479,85130763669,37,5,0,4,-0.36457354858321234,-0.14900731699957281
1480,85130933127,37,2,1,4,-0.3190707655209182,-0.15506413894078008
1481,85130962131,25,3,3,0,-0.26257456416941116,-0.47753805250691883
1482,85130965603,80,3,7,2,0.15816717796345145,0.9070314648191934
1483,85131006782,40,5,4,4,-0.14880682651852448,-0.09991387781286803
1484,85131018617,31,40,4,4,-0.12032045762476017,-0.3419213803639933
1485,85131241404,46,6,2,4,-0.22529897374263477,0.06784564714443375
1486,85131268546,42,9,2,4,-0.23558375600652295,-0.03581477440926326
1487,85131376634,0,1,0,0,-0.5177311949791703,-1.0980079211055713
1488,85131447485,45,3,4,4,-0.1327527079549245,0.029118278524057236
1489,85131457445,40,7,1,4,-0.298107738640366,-0.07956992956846219
1490,85131572084,46,5,2,4,-0.22712648273334318,0.06815614463311719
1491,85131698087,25,5,2,0,-0.3099048562224138,-0.4711707330770281
1492,85131714277,56,6,4,4,-0.08391008058376229,0.3106913410490354
1493,85131718503,28,5,1,0,-0.3490646843298232,-0.3871357218540355
1494,85131720867,46,2,3,4,-0.181623699671049,0.06209932269190992
1495,85131739522,27,13,22,4,0.7323050710096489,-0.5620565365878235
1496,85131788460,72,19,9,2,0.257843323411598,0.6826290180104498
1497,85131828925,77,7,4,2,0.0006958018960167016,0.8497077212704974
1498,85131902835,61,6,1,4,-0.2171568741420038,0.46006744563036656
1499,85131903008,50,7,3,4,-0.15671884548149348,0.16327576433613952
1500,85131967243,42,6,2,4,-0.2410662829786482,-0.03488328194321297
1501,85132047241,27,2,3,0,-0.2565184185421129,-0.42586309047441206
1502,85132076333,49,35,5,4,-0.007519800981822323,0.11492297356657658
1503,85132163592,37,2,1,4,-0.3190707655209182,-0.15506413894078008
1504,85132178863,75,2,0,2,-0.22026663781320982,0.8278490017991215
1505,85132183078,38,5,1,4,-0.30964641123978953,-0.13031339913491868
1506,85132207470,40,10,3,4,-0.19065459159940185,-0.09447805084902762
1507,85132208053,319,6,1,6,0.7998345715808634,7.086083371783582
1508,85132213409,57,5,7,4,0.07116016783779096,0.31571912758785786
1509,85132418115,35,8,4,4,-0.16303343609141605,-0.22925653163847676
1510,85132434864,40,2,4,4,-0.15428935349064973,-0.09898238534681775
1511,85132454074,13,2,1,0,-0.4136746209369988,-0.7714377134666605
1512,85132573375,64,2365,100,1,9.153308010273683,-0.8871925596766134
1513,85132688631,169,11,10,3,0.6765658104936761,3.1693012138880925
