Date,Count
2021-11-23,2
2021-12-01,43
2021-12-02,1
2021-12-03,1
2021-12-15,2
2021-12-20,1
2021-12-22,1
2021-12-30,1
2022-01-01,110
2022-01-03,1
2022-01-07,1
2022-01-10,1
2022-01-15,1
2022-01-20,1
2022-01-24,1
2022-01-27,1
2022-01-28,1
2022-02-01,17
2022-02-02,1
2022-02-04,1
2022-02-09,1
2022-02-15,1
2022-02-16,1
2022-02-21,1
2022-03-01,20
2022-03-05,1
2022-03-14,1
2022-03-18,5
2022-03-25,1
2022-04-01,19
2022-04-13,1
2022-04-15,1
2022-04-16,1
2022-04-22,1
2022-04-28,1
2022-05-01,20
2022-05-15,1
2022-05-16,1
2022-05-20,1
2022-05-26,1
2022-05-30,1
2022-06-01,19
2022-06-05,1
2022-06-09,1
2022-06-15,1
2022-06-16,1
2022-06-23,1
2022-06-28,1
2022-06-29,1
2022-07-01,20
2022-07-05,1
2022-07-11,1
2022-07-15,1
2022-07-21,1
2022-07-27,1
2022-07-30,1
2022-08-01,16
2022-08-02,1
2022-08-04,1
2022-08-10,1
2022-08-17,1
2022-08-20,1
2022-08-24,1
2022-08-30,1
2022-09-01,23
2022-09-09,1
2022-09-14,1
2022-09-15,1
2022-09-16,1
2022-09-26,1
2022-09-28,1
2022-10-01,20
2022-10-06,1
2022-10-11,1
2022-10-15,1
2022-10-20,1
2022-10-28,1
2022-11-01,20
2022-11-07,1
2022-11-09,1
2022-11-14,1
2022-11-15,1
2022-11-25,1
2022-11-30,1
2022-12-01,46
2022-12-02,1
2022-12-09,1
2022-12-12,1
2022-12-16,1
2022-12-27,1
2022-12-31,1
2023-01-01,103
2023-01-06,1
2023-01-15,1
2023-01-16,1
2023-01-26,1
2023-01-31,1
2023-02-01,17
2023-02-07,1
2023-02-15,2
2023-02-23,1
2023-03-01,18
2023-03-08,1
2023-03-14,1
2023-03-20,1
2023-03-27,1
2023-03-31,1
2023-04-01,15
2023-04-15,1
2023-04-18,1
2023-05-01,13
2023-05-04,1
2023-05-05,1
2023-05-15,1
2023-05-19,1
2023-05-28,1
2023-06-01,18
2023-06-04,1
2023-06-10,1
2023-06-14,1
2023-06-15,1
2023-06-25,1
2023-06-30,1
2023-07-01,15
2023-07-06,1
2023-07-10,1
2023-07-14,1
2023-07-18,1
2023-07-21,1
2023-08-01,13
2023-08-07,1
2023-08-15,1
2023-08-20,1
2023-08-24,1
2023-09-01,11
2023-09-10,1
2023-09-15,1
2023-10-01,5
2023-10-10,1
2023-11-01,2
2023-11-29,1
2023-12-01,18
2023-12-15,1
